,Id,FPYear,EDegree,GMSalary,GLArea,HChildren,CMValue,CRate,PMotor,PHousehold,PHealth,PLife,PCompensations
27,28,1979.0,4 - PhD,7238.0,1.0,0.0,-7.22000000000003,0.972609070741928,449.75,58.9,112.91,17.78,9.78
28,29,1995.0,3 - BSc/MSc,7277.0,4.0,0.0,264.17,0.496324810144221,301.28,18.9,258.05,-4.0,-0.11
29,30,1980.0,3 - BSc/MSc,5320.0,3.0,0.0,2.0,0.955453630529112,524.21,25.0,54.9,7.0,-5.0
30,31,1988.0,2 - High School,4295.0,4.0,1.0,427.76,0.190213017116489,483.09,-15.0,92.24,3.89,-5.11
31,32,1984.0,2 - High School,6979.0,4.0,0.0,240.16,0.69097011794322,320.95,335.05,146.25,46.12,9.67
32,33,1989.0,3 - BSc/MSc,4252.0,4.0,1.0,-2.43999999999994,0.962048952813525,473.09,19.45,89.24,4.78,7.89
33,34,1987.0,2 - High School,3202.0,1.0,1.0,-5.55000000000007,0.967933922447903,373.96,19.45,179.7,22.56,10.89
34,35,1979.0,3 - BSc/MSc,7323.0,3.0,0.0,336.07,0.475707149909973,320.84,123.35,131.58,40.23,72.68
35,36,1990.0,2 - High School,4840.0,3.0,0.0,53.8,0.892859085223256,241.49,190.6,125.8,111.8,65.79
36,37,1982.0,2 - High School,4802.0,4.0,1.0,7.24000000000001,0.941547610414098,320.95,-25.55,145.25,26.56,84.35
37,38,1976.0,2 - High School,6685.0,1.0,0.0,-31.78,1.0104934067975,495.87,68.9,68.57,3.0,9.78
38,39,1985.0,2 - High School,7969.0,3.0,0.0,-14.22,0.984539039642017,104.02,142.8,357.18,53.01,40.23
39,40,1980.0,3 - BSc/MSc,7716.0,1.0,0.0,-1.55000000000007,0.962699624610295,334.84,63.35,207.04,17.67,5.78
40,41,1994.0,2 - High School,2353.0,4.0,1.0,121.36,0.843885997098729,52.01,455.65,135.47,146.36,148.03
41,42,1988.0,3 - BSc/MSc,6511.0,1.0,1.0,402.63,0.465114824636013,265.05,270.6,130.47,108.02,25.34
42,43,1994.0,2 - High School,4231.0,4.0,1.0,710.8,0.186709700238748,323.84,383.4,168.92,3.0,25.56
43,44,1994.0,2 - High School,2706.0,2.0,1.0,-77.01,1.06766848816029,159.14,249.5,284.61,52.01,23.34
44,45,1985.0,3 - BSc/MSc,2129.0,1.0,1.0,-128.68,1.18714801444043,111.8,-35.0,208.26,224.71,44.23
45,46,1991.0,3 - BSc/MSc,3874.0,3.0,1.0,624.34,0.376946622017099,139.58,540.1,180.59,106.13,75.79
46,47,1976.0,3 - BSc/MSc,2438.0,4.0,1.0,-94.8999999999999,1.08287096315265,269.94,300.6,143.25,59.79,69.9
47,48,1977.0,2 - High School,8465.0,3.0,0.0,279.28,0.630943139918494,254.38,265.6,209.04,72.68,22.78
48,49,1985.0,3 - BSc/MSc,4761.0,3.0,1.0,-132.88,1.20294980811197,468.09,-45.55,92.24,1.89,14.89
49,50,1986.0,2 - High School,5319.0,1.0,1.0,-21.11,0.993551381728362,396.74,18.9,166.92,16.78,3.89
50,51,1983.0,3 - BSc/MSc,3137.0,4.0,1.0,420.64,0.322416335963752,435.75,102.25,105.02,4.78,9.89
51,52,1982.0,3 - BSc/MSc,6467.0,4.0,1.0,-14714.08,25.36,557.44,20.0,29.56,5.0,-9.0
52,53,1986.0,3 - BSc/MSc,3920.0,3.0,1.0,-104.21,1.14257685938513,360.4,-40.55,212.04,12.78,10.89
53,54,1983.0,2 - High School,2295.0,1.0,1.0,-11.3299999999999,0.982574222086249,177.59,236.7,295.61,44.12,30.45
54,55,1993.0,3 - BSc/MSc,6881.0,3.0,0.0,264.5,0.589763210474854,305.17,157.25,227.6,12.89,2.78
55,56,1995.0,3 - BSc/MSc,5770.0,2.0,1.0,-15.22,0.984511837833558,559.66,44.45,17.56,-1.11,10.89
56,57,1995.0,3 - BSc/MSc,4467.0,4.0,1.0,540.55,0.132592024539877,569.55,30.0,36.45,6.0,10.0
57,58,1992.0,2 - High School,7076.0,4.0,0.0,294.94,0.662453578663065,207.93,452.3,155.25,69.68,62.68
58,59,1978.0,2 - High School,5839.0,2.0,1.0,448.98,0.411234224386366,286.61,260.05,168.92,72.68,16.78
59,60,1997.0,2 - High School,4389.0,3.0,1.0,120.48,0.813391482811698,341.73,249.5,84.35,52.9,51.12
60,61,1983.0,3 - BSc/MSc,8217.0,4.0,1.0,226.93,0.676564987418477,278.83,246.15,217.82,30.34,5.78
61,62,1993.0,2 - High School,3646.0,1.0,1.0,224.5,0.676645930533955,304.17,249.5,165.81,36.34,15.78
62,63,1981.0,3 - BSc/MSc,7524.0,3.0,1.0,-67.3200000000001,1.07828918158946,464.2,-25.55,89.24,3.89,8.78
63,64,1987.0,2 - High School,6518.0,4.0,1.0,314.51,0.608028539761707,364.18,343.95,86.46,23.45,48.12
64,65,1982.0,3 - BSc/MSc,4587.0,3.0,0.0,-124.32,1.18897937438161,452.53,-45.55,104.91,17.78,-4.11
65,66,1998.0,3 - BSc/MSc,7520.0,1.0,0.0,132.27,0.77988187213078,276.83,175.6,261.27,6.89,-6.11
66,67,1984.0,3 - BSc/MSc,5087.0,3.0,1.0,-25.0,1.0,366.07,78.35,165.81,16.56,7.89
67,68,1989.0,2 - High School,3731.0,1.0,1.0,-90.0099999999999,1.06407261760445,152.03,530.65,202.26,32.34,97.35
68,69,1983.0,2 - High School,2798.0,4.0,1.0,476.65,0.32606534472567,330.73,186.7,211.15,0.0,15.78
69,70,1989.0,3 - BSc/MSc,4238.0,4.0,1.0,316.98,0.359059899542694,384.63,-40.55,151.03,20.56,17.89
70,71,1994.0,2 - High School,6763.0,2.0,0.0,83.9000000000001,0.842201356285863,183.48,108.9,252.38,65.68,79.68
71,72,1985.0,3 - BSc/MSc,2318.0,4.0,1.0,195.82,0.715935988473809,150.03,236.7,286.61,70.79,33.23
72,73,1990.0,3 - BSc/MSc,6411.0,4.0,1.0,-25.0,1.0,213.15,217.25,242.6,56.9,59.9
73,74,1993.0,2 - High School,4672.0,1.0,1.0,272.61,0.631031490205802,246.49,264.5,223.71,51.12,20.78
74,75,1985.0,2 - High School,2880.0,1.0,1.0,-25.0,1.0,436.75,65.0,140.47,12.89,0.89
75,76,1996.0,3 - BSc/MSc,5867.0,4.0,1.0,234.83,0.66315339141257,289.5,211.7,217.82,22.67,29.67
76,77,1996.0,3 - BSc/MSc,8391.0,4.0,0.0,747.03,0.197807564422278,183.48,471.75,190.37,43.12,73.68
77,78,1984.0,2 - High School,6568.0,4.0,1.0,74.4499999999999,0.85213215177828,290.61,99.45,180.59,51.9,50.01
78,79,1978.0,4 - PhD,6181.0,3.0,1.0,-50.3100000000001,1.04448076483717,429.86,-6.1,141.47,6.89,-3.11
79,80,1978.0,3 - BSc/MSc,7801.0,4.0,0.0,352.96,0.422679782489155,342.73,83.35,150.25,48.12,30.23
80,81,1980.0,1 - Basic,4635.0,4.0,1.0,14.34,0.954127798507463,355.51,304.5,136.58,39.34,21.67
81,82,1986.0,2 - High School,2861.0,3.0,1.0,274.19,0.45962396373291,368.07,-25.55,163.81,29.56,17.78
82,83,1992.0,2 - High School,6467.0,2.0,1.0,308.31,0.34516699410609,463.31,-65.0,104.02,0.89,5.78
83,84,1995.0,3 - BSc/MSc,3583.0,1.0,1.0,423.53,0.330352343983279,291.39,132.25,209.93,30.56,5.67
84,85,1997.0,2 - High School,5311.0,3.0,1.0,-47.6700000000001,1.02864688637283,238.49,221.7,244.49,22.67,64.01
85,86,1976.0,3 - BSc/MSc,4957.0,3.0,0.0,317.83,0.608064387053995,399.63,344.5,114.91,7.0,8.67
86,87,1994.0,3 - BSc/MSc,3261.0,4.0,1.0,-19.22,0.992902663343116,326.06,307.85,166.81,7.89,5.78
87,88,1997.0,3 - BSc/MSc,4845.0,2.0,1.0,-46.0000000000001,1.03245749613601,581.33,55.0,17.67,-6.0,-1.0
88,89,1995.0,3 - BSc/MSc,3558.0,3.0,1.0,-139.11,1.21426693705874,193.26,-30.55,291.5,65.68,12.67
89,90,1989.0,3 - BSc/MSc,7720.0,4.0,0.0,-54.5599999999999,1.04839633916731,216.93,48.35,315.95,12.78,16.78
90,91,1991.0,3 - BSc/MSc,2832.0,3.0,1.0,402.18,0.4047765020622,282.61,163.35,214.04,38.23,19.45
91,92,1993.0,1 - Basic,7805.0,3.0,0.0,238.94,0.644726215474075,263.94,196.15,221.93,31.34,29.56
92,93,1987.0,3 - BSc/MSc,5951.0,1.0,1.0,-66.1200000000001,1.06408178531355,324.84,83.35,159.92,32.45,41.12
93,94,1982.0,3 - BSc/MSc,3971.0,4.0,1.0,400.86,0.436044124852674,393.63,192.8,136.47,11.67,20.56
94,95,1992.0,4 - PhD,2540.0,2.0,1.0,174.37,0.705666115507263,230.82,126.7,263.05,31.45,25.34
95,96,1976.0,3 - BSc/MSc,5336.0,4.0,1.0,-25.0,1.0,296.5,70.0,200.15,60.79,8.67
96,97,1992.0,3 - BSc/MSc,5661.0,4.0,1.0,-91.0,1.12310906343847,520.1,-20.0,45.01,-1.0,-8.0
97,98,1996.0,2 - High School,7847.0,4.0,0.0,120.47,0.814593423400459,169.81,244.5,224.82,26.56,118.91
98,99,1988.0,1 - Basic,7740.0,1.0,1.0,179.26,0.681956900847035,204.26,82.8,110.02,185.48,59.68
99,100,1984.0,2 - High School,5609.0,1.0,1.0,14.23,0.944997476305311,427.08,142.8,104.13,1.89,37.34
100,101,1977.0,2 - High School,5487.0,4.0,1.0,-55.5600000000001,1.04641202824816,424.97,69.45,133.47,23.67,6.89
101,102,1981.0,1 - Basic,5387.0,3.0,1.0,654.9,0.386792452830189,62.68,648.45,210.15,31.45,156.03
102,103,1981.0,2 - High School,4141.0,4.0,1.0,-25.0,1.0,190.59,317.85,188.37,6.89,118.58
103,104,1975.0,3 - BSc/MSc,6388.0,2.0,0.0,257.84,0.527647422301642,234.49,48.35,219.82,67.68,28.45
104,105,1996.0,2 - High School,4683.0,1.0,1.0,46.12,0.887864024092206,349.4,73.9,170.92,37.23,2.78
105,106,1986.0,3 - BSc/MSc,4037.0,4.0,1.0,-2.64999999999998,0.965067208502657,89.24,82.25,408.41,19.56,40.34
106,107,1979.0,3 - BSc/MSc,6960.0,3.0,0.0,201.82,0.711233895197841,297.61,240.6,218.82,13.78,14.67
107,108,1989.0,2 - High School,7346.0,3.0,1.0,133.81,0.765656356982647,292.61,108.35,117.91,12.67,146.14
108,109,1991.0,1 - Basic,1528.0,4.0,1.0,71.24,0.927061623227508,79.68,912.95,97.24,213.04,16.56
109,110,1980.0,2 - High School,4251.0,3.0,1.0,317.29,0.535922014181705,368.29,158.35,189.37,22.67,-1.11
110,111,1990.0,3 - BSc/MSc,4077.0,4.0,1.0,385.66,0.248646077283372,482.09,-35.55,99.13,1.0,-0.11
111,112,1991.0,3 - BSc/MSc,7013.0,3.0,0.0,343.52,0.430628514924912,330.95,72.8,108.91,35.23,99.35
112,113,1997.0,4 - PhD,4707.0,1.0,1.0,-8719.0425,15.65,518.32,4.45,55.9,3.89,10.89
113,114,1993.0,3 - BSc/MSc,4514.0,3.0,1.0,231.49,0.661979441222984,285.83,182.25,231.82,29.34,29.56
114,115,1992.0,3 - BSc/MSc,4117.0,4.0,1.0,344.3,0.491959114608411,405.3,187.25,136.58,9.78,-12.0
115,116,1988.0,2 - High School,3667.0,3.0,1.0,330.51,0.475579354191559,359.29,127.25,187.59,2.89,0.89
116,117,1994.0,3 - BSc/MSc,5368.0,1.0,1.0,498.54,0.143142389525368,506.54,10.0,71.68,7.89,14.89
117,118,1979.0,2 - High School,6256.0,4.0,1.0,283.95,0.613933145891909,279.61,251.7,178.7,29.34,60.9
118,119,1978.0,2 - High School,4361.0,3.0,1.0,525.88,0.413857677902622,142.47,437.3,246.49,43.12,70.46
119,120,1986.0,3 - BSc/MSc,7300.0,3.0,0.0,305.05,0.621519655061694,324.95,330.05,159.14,31.34,26.56
120,121,1989.0,2 - High School,2887.0,1.0,1.0,422.18,0.555221802267754,311.17,511.75,109.02,8.89,64.57
121,122,1997.0,3 - BSc/MSc,4804.0,4.0,1.0,290.17,0.565564392738501,273.94,181.7,199.15,29.45,41.23
122,123,1997.0,1 - Basic,3036.0,1.0,1.0,643.24,0.180566285300862,286.5,294.5,78.57,87.24,68.68
123,124,1991.0,1 - Basic,5914.0,1.0,1.0,68.35,0.890980648627185,230.71,343.95,152.03,93.35,36.23
124,125,1980.0,3 - BSc/MSc,5228.0,1.0,1.0,319.31,0.350493293844674,442.64,-50.0,130.69,11.89,-5.11
125,126,1991.0,2 - High School,2823.0,1.0,1.0,180.04,0.642862119417543,240.38,3.9,227.82,66.68,35.34
126,127,1977.0,2 - High School,3705.0,4.0,1.0,-21.0,0.994327206716587,478.09,108.9,94.35,9.89,13.89
127,128,1978.0,2 - High School,6961.0,3.0,0.0,-19.1099999999999,0.995046757265877,132.58,750.15,168.7,71.79,65.9
128,129,1982.0,3 - BSc/MSc,7941.0,1.0,0.0,23.8000000000001,0.907067090704805,202.04,-55.0,173.81,98.24,106.02
129,130,1979.0,4 - PhD,6543.0,1.0,1.0,93.25,0.818979241932521,437.75,87.8,83.46,37.34,6.89
130,131,1989.0,2 - High School,3230.0,4.0,1.0,317.06,0.493004090828244,219.04,113.35,311.06,10.78,20.45
131,132,1997.0,2 - High School,4656.0,2.0,1.0,518.1,0.120727896773358,489.87,44.45,74.57,5.0,3.78
132,133,1994.0,3 - BSc/MSc,2845.0,4.0,1.0,-67.2300000000002,1.05790007677964,167.92,171.7,347.51,21.56,20.67
133,134,1978.0,3 - BSc/MSc,7153.0,2.0,0.0,100.79,0.820957342328878,243.27,138.35,237.71,35.34,47.9
134,135,1976.0,4 - PhD,3620.0,2.0,1.0,543.21,0.138501425192553,490.98,79.45,86.35,-1.11,3.89
135,136,1997.0,3 - BSc/MSc,4352.0,4.0,1.0,-10198.912,14.8,297.61,162.8,143.36,136.47,-3.0
136,137,1988.0,3 - BSc/MSc,5032.0,4.0,0.0,241.72,0.649684122043159,232.49,225.6,256.27,41.12,5.89
137,138,1994.0,2 - High School,7597.0,4.0,0.0,456.76,0.312557077625571,354.51,127.25,105.13,104.02,9.89
138,139,1979.0,2 - High School,5075.0,2.0,1.0,149.59,0.685349721556401,194.26,305.6,0.0,37.34,17.67
139,140,1978.0,2 - High School,6442.0,1.0,1.0,649.67,0.249198753616737,320.17,349.5,193.48,30.45,5.0
140,141,1987.0,2 - High School,5529.0,1.0,1.0,511.42,0.412850262697023,285.83,364.5,149.36,73.57,40.34
141,142,1997.0,4 - PhD,6193.0,1.0,0.0,-12.11,0.981580451557588,391.63,152.25,131.47,18.67,5.78
142,143,1984.0,4 - PhD,2532.0,2.0,1.0,210.71,0.663598218873095,213.04,138.35,287.5,19.56,42.23
144,145,1996.0,2 - High School,3614.0,4.0,1.0,-44.78,1.03295403428686,345.73,18.9,180.48,35.34,19.78
145,146,1983.0,1 - Basic,5107.0,1.0,1.0,-96.11,1.12364376130199,144.36,-11.1,381.85,47.23,12.78
146,147,1992.0,3 - BSc/MSc,4683.0,4.0,1.0,72.8,0.850488435020562,272.72,97.8,177.7,48.12,57.79
147,148,1979.0,2 - High School,5901.0,3.0,1.0,374.41,0.427057034656874,116.69,123.9,173.81,131.47,151.25
148,149,1982.0,3 - BSc/MSc,5297.0,3.0,1.0,521.99,0.0868280467445743,522.1,15.0,44.12,9.89,7.89
149,150,1989.0,1 - Basic,1968.0,4.0,1.0,255.71,0.631517458650564,64.9,197.25,29.56,18.56,451.53
150,151,1993.0,2 - High School,7371.0,4.0,0.0,463.54,0.469721803123881,264.94,426.75,167.81,30.45,31.34
151,152,1977.0,2 - High School,2291.0,3.0,1.0,433.97,0.477944856453888,165.03,358.95,241.38,6.89,106.91
152,153,1981.0,2 - High School,3506.0,4.0,0.0,10.3400000000001,0.971237191434641,125.8,785.7,79.57,136.47,101.13
153,154,1990.0,3 - BSc/MSc,3367.0,3.0,1.0,-40.55,1.02788937513451,423.08,-15.55,129.47,8.78,11.78
154,155,1997.0,3 - BSc/MSc,4666.0,2.0,0.0,477.21,0.117551967106535,512.32,-10.0,58.9,3.89,4.0
155,156,1986.0,3 - BSc/MSc,2708.0,3.0,0.0,589.33,0.433609308157545,100.13,614.55,321.84,-0.11,48.23
156,157,1984.0,2 - High School,7649.0,4.0,0.0,130.04,0.782088041828302,321.95,175.6,189.59,20.56,3.78
157,158,1988.0,3 - BSc/MSc,2361.0,3.0,1.0,343.07,0.43519825681316,395.52,93.35,135.36,12.78,14.67
158,159,1976.0,3 - BSc/MSc,6087.0,2.0,1.0,413.31,0.217303571428571,484.98,-35.0,71.79,26.56,11.67
159,160,1996.0,3 - BSc/MSc,4468.0,2.0,1.0,-52.0,1.04736842105263,497.76,-15.0,91.35,7.89,-12.0
160,161,1983.0,3 - BSc/MSc,6163.0,4.0,1.0,509.11,0.0605916701843253,551.66,-15.55,28.45,7.0,-3.0
161,162,1975.0,3 - BSc/MSc,4570.0,1.0,0.0,471.21,0.2461564171123,349.4,87.8,142.47,9.78,68.79
162,163,1984.0,3 - BSc/MSc,3304.0,1.0,1.0,423.64,0.297430195593279,429.97,63.35,124.69,18.67,1.89
163,164,1991.0,2 - High School,4823.0,4.0,1.0,103.02,0.810531612597679,416.08,128.35,127.47,7.89,-4.11
164,165,1997.0,3 - BSc/MSc,2804.0,2.0,1.0,269.61,0.505422374429224,282.72,38.35,249.38,18.56,6.67
165,166,1981.0,3 - BSc/MSc,4309.0,4.0,0.0,446.08,0.25879539303921,429.97,64.45,117.8,12.67,10.67
166,167,1995.0,1 - Basic,7234.0,4.0,1.0,493.43,0.524026808666912,120.8,599.0,160.14,128.69,80.57
167,168,1996.0,3 - BSc/MSc,7987.0,2.0,0.0,188.93,0.671281499692686,228.6,97.25,284.61,14.67,25.67
168,169,1977.0,2 - High School,1854.0,4.0,1.0,205.16,0.719258870741495,158.03,313.4,245.38,93.13,9.89
169,170,1988.0,3 - BSc/MSc,6392.0,3.0,0.0,211.84,0.575981094242338,249.38,-10.55,311.17,4.78,3.78
170,171,1984.0,1 - Basic,7831.0,4.0,0.0,455.87,0.399362977766675,182.7,274.5,212.93,23.67,106.8
171,172,1990.0,3 - BSc/MSc,2172.0,4.0,1.0,-165680.424,256.2,378.07,78.9,166.81,6.89,18.45
172,173,1987.0,2 - High School,5217.0,4.0,1.0,437.31,0.293838211034398,342.51,88.35,176.81,7.78,39.23
173,174,1993.0,2 - High School,5803.0,2.0,1.0,5.34000000000015,0.963983428103372,256.05,342.85,132.47,40.34,70.68
174,175,1990.0,4 - PhD,3327.0,1.0,1.0,38.0100000000001,0.899364339104325,458.31,63.9,99.24,1.89,2.78
175,176,1977.0,2 - High School,5708.0,4.0,1.0,360.63,0.318807298934836,389.85,-5.0,151.03,24.45,5.78
176,177,1985.0,3 - BSc/MSc,6396.0,4.0,0.0,-57.9,1.04852435804782,236.49,88.9,230.82,57.9,63.9
177,178,1987.0,2 - High School,4206.0,3.0,1.0,453.2,0.276200278500938,455.42,78.35,104.13,3.0,19.78
178,179,1988.0,3 - BSc/MSc,3957.0,3.0,1.0,74.3499999999999,0.856364214665742,324.06,113.35,216.93,11.67,25.67
179,180,1984.0,2 - High School,3477.0,3.0,0.0,284.07,0.601282315908974,99.02,263.95,158.03,45.12,209.04
180,181,1980.0,3 - BSc/MSc,6468.0,3.0,0.0,61.13,0.906193842098958,162.81,397.85,242.38,76.68,38.45
181,182,1982.0,2 - High School,8181.0,1.0,0.0,-25.66,1.0007536655552,263.05,363.4,220.93,28.56,-0.22
182,183,1995.0,2 - High School,1652.0,1.0,0.0,133.92,0.855158585490339,158.92,634.0,207.26,73.57,23.45
183,184,1977.0,3 - BSc/MSc,4389.0,2.0,1.0,465.65,0.218162406781822,431.86,59.45,129.58,6.89,-0.22
184,185,1993.0,2 - High School,4837.0,4.0,1.0,-62.23,1.06977659494715,0.0,253.95,230.6,5.89,43.12
185,186,1983.0,3 - BSc/MSc,2039.0,1.0,1.0,426.64,0.274555471673868,451.64,53.35,101.02,1.89,14.67
186,187,1993.0,1 - Basic,2493.0,2.0,1.0,-128.24,1.07219933842915,33.23,1026.3,82.57,75.68,212.15
187,188,1984.0,4 - PhD,3848.0,4.0,1.0,422.99,0.192170369301789,461.2,-10.55,92.13,3.89,7.89
188,189,1977.0,3 - BSc/MSc,6069.0,3.0,1.0,201.82,0.78551705877903,233.71,560.65,200.26,6.89,56.01
189,190,1986.0,3 - BSc/MSc,6113.0,2.0,1.0,9.33999999999992,0.942724664754153,314.95,24.45,129.58,9.89,120.69
190,191,1978.0,3 - BSc/MSc,5239.0,4.0,1.0,18.34,0.928665481598525,532.88,34.45,29.34,11.89,-1.0
191,192,1996.0,1 - Basic,2972.0,2.0,0.0,872.07,0.119163810963935,106.02,587.9,76.46,22.45,225.6
192,193,1978.0,3 - BSc/MSc,7087.0,4.0,1.0,436.42,0.252833732754712,421.3,34.45,150.14,-6.0,17.67
193,194,1991.0,4 - PhD,5098.0,2.0,1.0,-25.0,1.0,491.87,39.45,80.35,5.89,6.0
194,195,1990.0,3 - BSc/MSc,4698.0,4.0,1.0,-101.0,1.14309653367476,469.31,-65.0,115.8,0.0,11.0
195,196,1986.0,3 - BSc/MSc,6230.0,4.0,0.0,379.63,0.393467442139345,346.62,68.9,199.37,20.67,31.56
196,197,1994.0,3 - BSc/MSc,7611.0,4.0,1.0,-51.54,1.04742080154377,499.76,-25.55,60.9,22.56,2.0
197,198,1990.0,4 - PhD,7491.0,3.0,0.0,168.71,0.658094464840441,211.93,-5.55,289.5,58.01,12.67
198,199,1995.0,3 - BSc/MSc,6666.0,4.0,1.0,-30.78,1.01003263209054,488.87,8.9,64.68,5.78,7.89
199,200,1996.0,3 - BSc/MSc,6441.0,4.0,1.0,278.38,0.62026235417814,290.39,271.15,195.26,9.89,32.23
200,201,1989.0,3 - BSc/MSc,3875.0,1.0,1.0,303.09,0.376918109996962,390.52,-30.55,167.81,-1.11,-0.11
201,202,1991.0,1 - Basic,5371.0,3.0,1.0,263.62,0.624974012474013,344.73,244.5,128.47,48.01,3.89
202,203,1989.0,3 - BSc/MSc,5087.0,4.0,1.0,183.26,0.843404114533205,163.03,927.4,159.92,45.23,34.34
203,204,1996.0,2 - High School,3183.0,3.0,1.0,50.9,0.876943530212876,185.7,53.35,267.94,67.79,42.01
204,205,1983.0,2 - High School,5563.0,1.0,1.0,-122.24,1.13036075771185,314.28,200.05,134.36,34.23,63.01
205,206,1976.0,2 - High School,3936.0,3.0,1.0,328.73,0.455062238106976,343.62,63.9,170.81,30.34,40.45
206,207,1978.0,2 - High School,5799.0,1.0,0.0,260.72,0.636099648479291,178.59,258.95,240.49,89.46,17.67
207,208,1997.0,3 - BSc/MSc,7920.0,3.0,0.0,45.02,0.890880189502556,313.28,58.35,245.49,11.67,12.89
208,209,1992.0,2 - High School,6064.0,4.0,1.0,410.86,0.426107336598726,263.27,215.6,213.04,24.56,43.01
209,210,1985.0,2 - High School,1745.0,1.0,1.0,63.35,0.88962872276634,181.59,275.6,262.05,-3.0,84.24
210,211,1984.0,3 - BSc/MSc,4685.0,1.0,1.0,431.33,0.183024205098826,508.43,-30.55,65.9,5.78,9.0
211,212,1993.0,3 - BSc/MSc,4800.0,4.0,1.0,-60.0,1.05654281098546,543.77,50.0,39.23,-7.0,-7.0
212,213,1986.0,3 - BSc/MSc,6165.0,4.0,1.0,496.65,0.210291268015018,444.64,84.45,126.69,10.89,-6.11
213,214,1996.0,1 - Basic,4877.0,1.0,1.0,-146.91,1.20627749576988,263.16,-5.0,215.93,48.12,68.79
214,215,1993.0,4 - PhD,3217.0,1.0,1.0,443.09,0.235284507686527,477.09,35.0,101.02,-4.0,3.0
215,216,1984.0,3 - BSc/MSc,4211.0,1.0,1.0,324.4,0.583512134649311,368.96,281.15,139.47,34.45,14.89
216,217,1992.0,3 - BSc/MSc,5472.0,3.0,1.0,391.2,0.319578864765891,382.85,33.35,178.81,14.67,2.0
217,218,1993.0,3 - BSc/MSc,2725.0,4.0,1.0,312.73,0.445034179045616,299.39,39.45,221.93,24.45,23.34
218,219,1991.0,2 - High School,6024.0,4.0,1.0,57.23,0.875890485390002,485.87,94.45,84.46,3.89,-6.11
219,220,1985.0,2 - High School,2684.0,4.0,1.0,31.01,0.929941962275479,189.59,240.6,249.38,56.01,63.9
